greeklish_25k	bf58b0ef	24273
greeklish_5k	dac9a1dd	4926
gujarati	9a3754dc	214
gujarati_1k	49d0fdae	1004
hausa	3724dbb0	200
hausa_1k	100e4f79	829
hawaiian	38370d5d	200
hawaiian_1k	2a4f7e78	1000
hebrew	975fd020	198
hebrew_10k	6a70ada1	10000
hebrew_1k	2ed09ee6	1000
hebrew_5k	aea091e5	5000
hindi	e23cf363	200
hindi_1k	ad19d8d4	999
hinglish	296ef640	212
hungarian	8eaa7dcf	200
hungarian_1k	d0f5bb90	1000
hungarian_2k	7e515891	2452
icelandic	9fce14f8	214
icelandic_1k	e008c7f1	1000
indonesian	5c079f67	310
indonesian_10k	7a08a5f6	13769
indonesian_1k	71246859	1020
irish	236e5f30	183
irish_1k	f2dee1d9	1000
italian	e1dcb226	199
italian_1k	e898856d	1159
italian_280k	b434b75a	279833
italian_60k	871e266f	60442
italian_7k	6ea63883	7154
japanese	92ed2422	189
japanese_hiragana	52754d73	554
japanese_katakana	aae0a053	343
japanese_romaji	5d46fd7d	153
japanese_romaji_1k	899fae59	987
jyutping	37dfc8a0	200
kabyle	b417f90d	200
kabyle_10k	4ba0a3c8	10000
kabyle_1k	91109e1c	1000
kabyle_2k	295bfc9b	2000
kabyle_5k	e8c8511f	5000
kannada	11ae9f3a	200
kazakh	77837b7f	202
kazakh_1k	0ec1ab92	990
khmer	8c0005a4	331
kinyarwanda	b25b740e	368
klingon	c9a49e09	201
klingon_1k	e5e6140a	1001
kokanu	d1ce7ff7	381
korean	31dceec8	470
korean_1k	171d4cee	975
korean_5k	23556232	4201
kurdish_central	fd6ea759	204
kurdish_central_2k	4b126b3a	1486
kurdish_central_4k	5f1d0e41	4256
kyrgyz	de9cd1ac	234
kyrgyz_1k	b1ea8550	849
lao	869469d5	537
latin	de11ffce	362
latvian	0b68fd09	179
latvian_1k	bd8758fd	930
league_of_legends	9b84814f	442
likanu	3cec150e	381
lithuanian	929d4970	199
lithuanian_1k	49a3cd0b	990
lithuanian_3k	ce324c9b	2978
lojban_cmavo	0bde1c1a	674
lojban_gismu	dc0217a7	1392
lorem_ipsum	74fe7d74	185
macedonian	52ee86d9	173
macedonian_10k	64bb545b	10000
macedonian_1k	318fc470	901
macedonian_75k	e010f8bc	75000
malagasy	937ede97	197
malagasy_1k	d74fafe1	975
malay	88d9b925	228
malay_1k	ff38d34c	1000
malayalam	2decebde	200
maltese	c01cd706	183
maltese_1k	70fbbed7	927
maori_1k	032fd611	975
marathi	5d169c2c	201
mongolian	a506b16f	1085
mongolian_10k	2175c132	9219
myanmar_burmese	7922e92d	200
nepali	97b7a8bd	200
nepali_1k	40caa6a9	1000
nepali_romanized	f14b4a16	430
norwegian_bokmal	40029e10	200
norwegian_bokmal_10k	f6d13a3b	10000
norwegian_bokmal_150k	b2c8c4b0	142938
norwegian_bokmal_1k	1127978d	1000
norwegian_bokmal_5k	7e47f653	5000
norwegian_nynorsk	bfe8207f	250
norwegian_nynorsk_100k	dc72e10b	104745
norwegian_nynorsk_10k	e7aed058	9939
norwegian_nynorsk_1k	6875baaa	1000
norwegian_nynorsk_5k	4f48e693	5000
occitan	9bd078cc	200
occitan_10k	08d649d0	10000
occitan_1k	e9b3156d	1000
occitan_2k	3d0b73ee	2000
occitan_5k	152b1c03	5000
oromo	845b0e70	200
oromo_1k	bbd61d06	1000
oromo_5k	bbb2edc4	5000
pashto	c45772a5	192
persian	22e39c21	196
persian_1k	42d2bf10	1000
persian_20k	8f9c1d31	21715
persian_5k	f1e2bbc9	5000
persian_romanized	95efbad5	195
pig_latin	715d2b89	197
pinyin	bb7c63d0	175
pinyin_10k	614147ed	1293
pinyin_1k	17f27238	612
pokemon_1k	1eb35624	1025
polish	d54067e7	183
polish_10k	d7bac9f2	10000
polish_200k	cbfac5b8	199979
polish_20k	24a1ee37	20000
polish_2k	492f590f	2338
polish_40k	f0a71d0f	40000
polish_5k	cb0b4ed7	5000
portuguese	d7e8de79	201
portuguese_1k	170b46df	1000
portuguese_3k	c51307f5	3043
portuguese_5k	61f848dd	5665
portuguese_acentos_e_cedilha	7a98a1dd	1999
quenya	1291bbce	1883
romanian	6e7f5702	270
romanian_100k	4d212350	100000
romanian_10k	76f46745	10000
romanian_1k	6aa70576	1000
romanian_200k	4596846c	200000
romanian_25k	05f4997c	25000
romanian_50k	5a338841	50000
romanian_5k	18432ffb	5000
russian	f5aacfd2	1003
russian_10k	6bd9cfcb	9996
russian_1k	f1c44c2c	996
russian_25k	f536c7f2	26037
russian_50k	f500ddeb	51682
russian_5k	7b5a11f7	4971
russian_abbreviations	ab9a0787	245
russian_contractions	3f2b4726	200
russian_contractions_1k	27bf7a96	880
russian_empire	be593606	30
sanskrit	819f8b0f	252
sanskrit_roman	e588a393	252
santali	20116f43	260
serbian	e31f3443	212
serbian_10k	58def61f	10000
serbian_latin	18e0e4fc	212
serbian_latin_10k	885e49fc	10000
shona	5f667860	200
shona_1k	38c5560d	816
sindhi	63f780bc	514
sinhala	d461b1b4	200
slovak	33811dc1	177
slovak_10k	1a6c1855	9944
slovak_1k	96cee1f0	1001
slovenian	fed997d0	309
slovenian_1k	0695c381	1023
slovenian_5k	665f6529	4971
spanish	12bf876c	197
spanish_10k	b1a9b409	9990
spanish_1k	e5124653	998
swahili_1k	5ab4ec9e	820
swedish	b7ec0f5e	198
swedish_1k	aa213428	994
swedish_diacritics	743b8b85	261
swiss_german	f514a41c	204
swiss_german_1k	c7ed00d4	1000
swiss_german_2k	9b6ca19e	2000
tamil	f3f50eff	366
tamil_1k	bd0fa0ff	951
tamil_old	5233b167	460
tanglish	2ede22b8	272
tatar	bc01d969	201
tatar_1k	922dcd24	1001
tatar_5k	498a878e	5004
tatar_9k	cf028240	9034
tatar_crimean	4ce8808c	214
tatar_crimean_10k	14bd2ad1	10000
tatar_crimean_15k	ce8b8a2a	15082
tatar_crimean_1k	307452f0	1000
tatar_crimean_5k	f50df2a2	5000
tatar_crimean_cyrillic	3ca7fd5b	214
tatar_crimean_cyrillic_10k	2c829cca	10000
tatar_crimean_cyrillic_15k	7bd6d37d	15082
tatar_crimean_cyrillic_1k	ac4b7436	1000
tatar_crimean_cyrillic_5k	282dda29	5000
telugu	e5aa8f01	201
telugu_1k	c4edb988	901
thai	25d88f2d	972
thai_10k	39b8138e	10000
thai_1k	5c560951	1000
thai_20k	7bbd682e	18737
thai_50k	5349cb29	50000
thai_5k	c648980a	5000
thai_60k	0b0e5701	60000
tibetan	dd0184ab	277
tibetan_1k	3bf6e3ab	1080
toki_pona	13a77113	124
